name,sku,barcode,category,supplier,qty,cost,price,brand,volume_ml,unit,fragrantica_id,_processed
Black Eyes Never Lies,black-eyes-never,2000000003900,Parfum,Labor sklad,449,2420,16000,Never Lies,,Милллилитр,,1
Cedrat Boise Mancera,cedrat-mancera,2000000003894,Parfum,Labor sklad,446,2420,16000,Mancera,,Милллилитр,,1
Liebe Khaltat,liebe-khaltat,2000000003887,Parfum,Labor sklad,722,2420,16000,Khaltat,,Милллилитр,,1
Gris Charnel BDK Parfums,grischarnel-bdk,2000000003870,Parfum,Labor sklad,624,2420,16000,BDK Parfums,,Милллилитр,,1
"N5 Floral, Amber, Sensual Rosendo Mateu",N5-rosendomateu,2000000003863,Parfum,Labor sklad,111,2420,16000,Rosendo Mateu,,Милллилитр,,1
Kinski Kinski,kinski,2000000003856,Parfum,Labor sklad,475,2420,16000,Kinski,,Милллилитр,,1
N4 Après l’Amour Thomas Kosmala,N4-apresamour-thomaskos,2000000003849,Parfum,Labor sklad,263,2420,16000,Thomas Kosmala,,Милллилитр,,1
Idôle Lancôme,idole-lancome,2000000003832,Parfum,Labor sklad,220,2420,16000,Lancome,,Милллилитр,,1
Tuxedo Yves Saint Laurent,tuxedo-ysl,2000000003825,Parfum,Labor sklad,344,2420,16000,Yves Saint Laurent,,Милллилитр,,1
Fahrenheit 32 Dior,fahre32-dior32,2000000003818,Parfum,Labor sklad,423,2420,16000,Dior,,Милллилитр,,1
Fucking Fabulous Tom Ford,fucking-tomford,2000000003801,Parfum,Labor sklad,159,2420,16000,Tom Ford,,Милллилитр,,1
Tuscan Leather Tom Ford,tuscan-lr-tomford,2000000003795,Parfum,Labor sklad,370,2420,16000,Tom Ford,,Милллилитр,,1
Cherry Smoke Tom Ford,cherrysmoke-tomford,2000000003788,Parfum,Labor sklad,164,2420,16000,Tom Ford,,Милллилитр,,1
Electric Cherry Tom Ford,electric-ch-tomford,2000000003771,Parfum,Labor sklad,404,2420,16000,Tom Ford,,Милллилитр,,1
Silver Mountain Water Creed,silver-mw-creed,2000000003764,Parfum,Labor sklad,206,2420,16000,Creed,,Милллилитр,,1
Jardin d’Amalfi Creed,jardin-creed,2000000003757,Parfum,Labor sklad,534,2420,16000,Creed,,Милллилитр,,1
I Don't Need A Prince - Rose de Mai By Kilian,idont-rose-kilian,2000000003740,Parfum,Labor sklad,15,2420,16000,Kilian,,Милллилитр,,1
L'Heure Verte By Kilian,lheurevertu-kilian,2000000003733,Parfum,Labor sklad,772,2420,16000,Kilian,,Милллилитр,,1
Accento Xerjoff,accento-xerjoff,2000000003726,Parfum,Labor sklad,166,2420,16000,Xerjoff,,Милллилитр,,1
Alexandria II Xerjoff,alex2-xerjoff,2000000003719,Parfum,Labor sklad,1435,2420,16000,Xerjoff,,Милллилитр,,1
Aqua Media Cologne Forte Maison Francis Kurkdjian,aquamedia-kurkdj,2000000003702,Parfum,Labor sklad,55,2420,16000,Francis Kurkdjian,,Милллилитр,,1
724 Maison Francis Kurkdjian,724-kurkdj,2000000003696,Parfum,Labor sklad,138,2420,16000,Francis Kurkdjian,,Милллилитр,,1
